english,arabic
dead,ميت
respect,الاحترام
unknown,مجهول
specified,محدد
restaurant,مطعم
mike,مايك مايك
trip,رحلة
pst,بيست
worth,قيمة
mi,ميل ميل
procedures,الإجراءات
poor,الفقراء
teacher,معلم
eyes,عيون
relationship,العلاقة
workers,العمال
farm,مزرعة
georgia,جورجيا
peace,السلام
traditional,التقليدية
campus,الحرم الجامعي
tom,توم توم
showing,عرض
creative,إبداعي
coast,الساحل
benefit,الاستحقاقات
progress,التقدم المحرز
funding,التمويل
devices,الأجهزة
lord,مولاي
grant,منحة
sub,الفرعية
agree,موافق
fiction,الخيال
hear,اسمع
sometimes,أحياناً
watches,الساعات
careers,وظائف
beyond,ما بعد
goes,يذهب
families,الأسر
led,قاد
museum,متحف
themselves,أنفسهم
fan,مروحة
transport,النقل
interesting,مثيرة للاهتمام
blogs,المدونات
wife,زوجة
evaluation,التقييم
accepted,مقبولة
former,السابقون
implementation,التنفيذ
ten,عشرة.
hits,الزيارات
zone,منطقة
complex,مجمع
th,الـ
cat,القط
galleries,معارض
references,مراجع
die,يموت
presented,عرض
jack,جاك
flat,شقة
flow,تدفق
agencies,الوكالات
literature,الأدب
respective,كل منها
parent,الوالد
spanish,الأسبانية
michigan,ميتشيغان
columbia,كولومبيا
setting,إعداد الإعداد
dr,د.
scale,مقياس
stand,الوقوف
economy,الاقتصاد
highest,أعلى
helpful,مفيدة
monthly,شهريا
critical,حرج
frame,الإطار
musical,الموسيقية
definition,التعريف
secretary,سكرتيرة
angeles,أنجيليس
networking,الربط الشبكي
path,المسار
australian,استرالي
employee,موظف
chief,رئيس
gives,يعطي
kb,كيلوبايت
bottom,أسفل
magazines,مجلات
packages,الحزم
detail,التفاصيل
francisco,فرانسيسكو
laws,القوانين
changed,غيرت
pet,الحيوانات الأليفة
heard,سمع
begin,ابدأ
individuals,الأفراد
colorado,كولورادو
royal,الملكي الملكي
clean,نظيفة
switch,مفتاح التبديل
russian,الروسية
largest,الأكبر
african,افريقي
guy,الرجل
titles,العناوين
relevant,ذات صلة
guidelines,المبادئ التوجيهية
justice,العدالة
connect,الاتصال
bible,الكتاب المقدس
dev,ديف ديف
cup,كوب
basket,سلة
applied,مطبق
weekly,أسبوعي
vol,المجلد
installation,تركيب التثبيت
described,وصف
demand,الطلب
pp,صفحة
suite,جناح
vegas,فيغاس
na,نا
square,مربع مربع
chris,كريس كريس
attention,الاهتمام
advance,سلفة
skip,تخطي
diet,حمية
army,الجيش
auction,مزاد علني
gear,والعتاد
lee,لي لي
os,أوس
difference,الفرق
allowed,مسموح
correct,صحيح
charles,تشارلز تشارلز
nation,الأمة
selling,بيع
lots,الكثير
piece,قطعة قطعة
sheet,ورقة
firm,شركة
seven,سبعة سبعة
older,كبار السن
illinois,إلينوي
regulations,اللوائح التنظيمية
elements,العناصر
species,الأنواع
jump,القفزة
cells,الخلايا
module,الوحدة النمطية
resort,منتجع
facility,المرفق
random,عشوائي
pricing,التسعير
dvds,دي في دي
certificate,شهادة
minister,الوزير
motion,الحركة
looks,يبدو
fashion,الموضة
directions,الاتجاهات
visitors,الزوار
documentation,الوثائق
monitor,مراقب
trading,التداول
forest,الغابات
calls,المكالمات
whose,الذين
coverage,التغطية
couple,زوجين
giving,إعطاء
chance,فرصة
vision,الرؤية
ball,الكرة
ending,النهاية
clients,العملاء
actions,الإجراءات
listen,استمعوا
discuss,مناقشة
accept,قبول
automotive,السيارات
naked,عارية
goal,الهدف
successful,ناجحة
sold,بيعت
wind,رياح
communities,المجتمعات المحلية
clinical,السريرية السريرية
situation,الحالة
sciences,العلوم
markets,الأسواق
lowest,أدنى مستوى
highly,عالياً
publishing,النشر
appear,تظهر
emergency,حالة طوارئ
developing,النامية
lives,حياة
currency,العملة
leather,الجلود
determine,تحديد
temperature,درجة الحرارة
palm,النخيل
announcements,الإعلانات
patient,المريض
actual,الفعلية
historical,تاريخى
stone,الحجر
bob,بوب بوب
commerce,التجارة
ringtones,نغمات الرنين
perhaps,ربما
persons,الأشخاص
difficult,صعب
scientific,العلمية العلمية
satellite,ساتل
fit,تناسب
tests,الاختبارات
village,قرية
accounts,الحسابات
amateur,الهواة
ex,السابقون
met,التقى
pain,ألم
xbox,إكس بوكس
particularly,خاصة
factors,العوامل
coffee,قهوة
www,www
settings,إعدادات الإعدادات
buyer,المشتري
cultural,الثقافية
steve,ستيف ستيف
easily,بسهولة
oral,شفهي
ford,فورد
poster,ملصق
edge,حافة
functional,وظيفية
root,جذر
au,الاتحاد الافريقي
fi,فاي فاي
closed,مغلق
holidays,العطل الرسمية
ice,الجليد
pink,وردي
zealand,زيلاند
balance,الرصيد
monitoring,الرصد
graduate,خريج
replies,الردود
shot,اطلاق النار
nc,ن م
architecture,الهندسة المعمارية
initial,الأولي
label,تسمية التسمية
thinking,التفكير
scott,سكوت سكوت
llc,ليك
sec,ثانية
recommend,يوصي
canon,شريعة
league,الدوري
waste,النفايات
minute,دقيقة
bus,حافلة
provider,مقدم الخدمة
optional,اختياري
dictionary,القاموس
cold,البرد
accounting,المحاسبة
manufacturing,التصنيع
sections,الأبواب
chair,كرسي
fishing,صيد الأسماك
effort,جهد
phase,مرحلة
fields,حقول
bag,حقيبة حقيبة
fantasy,الخيال
po,بو بو
letters,حروف
motor,المحرك
va,فا فا
professor,أستاذ
context,السياق
install,تثبيت
shirt,قميص
apparel,ملابس
generally,بشكل عام
continued,تابع
foot,القدم
mass,كتلة
crime,الجريمة
count,العد
breast,الثدي
techniques,تقنيات
ibm,إيبم
rd,الثالث عشر
johnson,جونسون
sc,سي سي
quickly,بسرعة
dollars,دولار
websites,مواقع الويب
religion,الدين
claim,ألف - المطالبة
driving,القيادة
permission,إذن
surgery,الجراحة
patch,التصحيح
heat,الحرارة
wild,البرية البرية
measures,التدابير
generation,جيل
kansas,كانساس
miss,ملكة جمال
chemical,الكيميائية
doctor,طبيب
task,المهمة
reduce,تقليل
brought,أحضر
himself,نفسه
nor,ولا
component,العنصر
enable,تمكين
exercise,تمرين
bug,علة
santa,سانتا
mid,منتصف
guarantee,ضمان
leader,قائد
diamond,الماس
israel,إسرائيل”
se,سي
processes,العمليات
soft,لينة
servers,خوادم
alone,وحيد
meetings,الاجتماعات
seconds,ثواني
jones,جونس
arizona,أريزونا
keyword,الكلمة المفتاحية
interests,مصالح
flight,رحلة طيران
congress,الكونغرس
fuel,الوقود
username,اسم المستخدم
walk,المشي
produced,منتجة
italian,الايطالية
paperback,غلاف ورقي
classifieds,إعلانات مبوبة
wait,انتظر
supported,مدعومة
pocket,جيب جيب
saint,القديس
rose,وردة
freedom,الحرية
argument,حجة
competition,المنافسة
creating,إنشاء
jim,جيم جيم
drugs,المخدرات
joint,مشترك
premium,قسط التأمين
providers,مقدمو الخدمات
fresh,طازجة
characters,أحرف
attorney,محامي
upgrade,الترقية
di,دي دي
factor,عامل
growing,النمو
thousands,آلاف
km,كم
stream,تيار
apartments,شقق سكنية
pick,اختر
hearing,جلسة استماع
eastern,الشرقية
auctions,المزادات
therapy,العلاج
entries,إدخالات
dates,التواريخ
generated,ولدت
signed,وقعت
upper,العلوي
administrative,الإدارية
serious,جدية
prime,رئيس الوزراء
samsung,سامسونج
limit,حد
began,بدأت
louis,لويس لويس
steps,خطوات
errors,أخطاء
shops,محلات تجارية
del,ديل ديل
efforts,الجهود المبذولة
informed,علم
ga,غا
ac,(ج ج)
thoughts,أفكار
creek,الخور
ft,قدم
worked,عمل
quantity,كمية
urban,الحضر
practices,الممارسات
sorted,فرزها
reporting,الإبلاغ
essential,ضروري
myself,نفسي
tours,الجولات السياحية
platform,منصة
load,تحميل
affiliate,التابعة لها
labor,العمل
immediately,فوراً
admin,مشرف
nursing,التمريض
defense,الدفاع
machines,آلات
designated,المعينون
tags,الوسوم
heavy,الثقيلة
covered,مغطى
recovery,الاسترداد
joe,جوو
guys,يا رفاق
integrated,متكاملة
configuration,التكوين
merchant,تاجر
comprehensive,شامل
expert,خبير
universal,عالمي
protect,حماية
drop,قطرة
solid,الصلبة الصلبة
